family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,trades_yr,verdict,mean_ret_pct,tstat,win_pct
1a-orb-breakout,H1h long tgt1.5xrange,SPY,1h,0.451600518646232,0.6774007779693481,227,1.6679042927039098,48.89867841409692,3.7861427444378704,-7.648503627108733,79.0,-0.7388206933589537,41.77215189873418,-0.5836683477535742,-2.885063391076468,21.0,21.398692810457515,131.9103024342267,FAIL,,,
1a-orb-breakout,H1h long tgt2.5xrange,SPY,1h,0.451600518646232,1.12900129661558,227,2.0854189529207616,45.37444933920705,4.733901023130138,-8.379657109192685,79.0,0.27043626115409086,41.77215189873418,0.21364464631172808,-4.098751456906102,23.0,23.176470588235293,131.9103024342267,SURVIVOR,,,
1a-orb-breakout,H1h short tgt1.5xrange,SPY,1h,0.451600518646232,0.6774007779693481,193,-6.87426353405121,39.37823834196891,-13.267328620718832,-17.598184417485392,60.0,-10.597168996709115,31.666666666666664,-6.358301398025468,-8.480948284668525,20.0,19.031620553359684,109.06309318908285,FAIL,,,
1a-orb-breakout,H1h short tgt2.5xrange,SPY,1h,0.451600518646232,1.12900129661558,193,-8.051618642271066,34.196891191709845,-15.539623979583162,-18.115352218471706,60.0,-14.071807251057665,26.666666666666668,-8.4430843506346,-8.86048376126331,22.0,22.549407114624508,109.06309318908285,FAIL,,,
1a-orb-breakout,H2h long tgt1.5xrange,SPY,1h,0.5792580205812201,0.8688870308718302,187,1.693988787332312,50.26737967914438,3.1677590323114346,-5.894240028571358,64.0,4.209930563315027,45.3125,2.694355560521622,-2.629216420971865,23.0,24.49800796812749,108.20093434964346,SURVIVOR,,,
1a-orb-breakout,H2h long tgt2.5xrange,SPY,1h,0.5792580205812201,1.4481450514530503,187,4.581568815532494,48.1283422459893,8.56753368504577,-5.353713321813714,64.0,6.813881487925215,45.3125,4.3608841522721375,-2.9744302662440005,23.0,25.605577689243027,108.20093434964346,SURVIVOR,,,
1a-orb-breakout,H2h short tgt1.5xrange,SPY,1h,0.5792580205812201,0.8688870308718302,161,-10.145747736040276,37.267080745341616,-16.33465385502484,-19.372222606396992,47.0,-12.389130675854911,34.04255319148936,-5.82289141765181,-7.855614735627263,21.0,22.591346153846153,89.66451930169657,FAIL,,,
1a-orb-breakout,H2h short tgt2.5xrange,SPY,1h,0.5792580205812201,1.4481450514530503,161,-8.28638698006868,36.024844720496894,-13.341083037910572,-18.24085385575044,47.0,-21.614570261021885,25.53191489361702,-10.158848022680289,-10.578627915929815,23.0,24.658653846153847,89.66451930169657,FAIL,,,
1a-orb-breakout,H1h long tgt1.5xrange,ES,1h,0.41037917325695716,0.6155687598854358,315,-1.7575998831172506,47.61904761904761,-5.536439631819334,-11.591126495448405,109.0,-1.3240482064832686,51.37614678899083,-1.4432125450667632,-3.986973680434463,6.0,10.11438679245283,221.21080823711463,FAIL,,,
1a-orb-breakout,H1h long tgt2.5xrange,ES,1h,0.41037917325695716,1.0259479331423929,315,-1.75040018007062,46.98412698412698,-5.513760567222448,-11.784540288829788,109.0,-1.4042389003206062,51.37614678899083,-1.5306204013494584,-4.260903914728564,6.0,10.32193396226415,221.21080823711463,FAIL,,,
