family,config,symbol,market,tf,tr_n,tr_exp,tr_win%,tr_dd%,tr_ret%,va_n,va_exp,va_win%,va_dd%,va_ret%,tr_per_yr,cadence,verdict,vol_gate,direction,trend_gate
1-trend,donchian20 k5-structtrail long gate=ungated,CL,WTI (CL=F),1d,49,335.2229525011144,48.97959183673469,-37.15680892312523,164.25924672554606,21,120.8157063421437,42.857142857142854,-43.84952572993816,25.371298331850166,3.375693160813309,TOO-RARE(3.4/yr),SURVIVOR,ungated,long,
1-trend,donchian20 k5-structtrail long gate=high-vol,CL,WTI (CL=F),1d,26,734.1876767444732,57.692307692307686,-27.399266727095963,190.888795953563,11,325.70329805368965,45.45454545454545,-23.73856830711157,35.82736278590586,1.7842949564298918,TOO-RARE(1.8/yr),INSUFFICIENT-SAMPLE,high-vol,long,
1-trend,donchian20 k5-structtrail long gate=low-vol,CL,WTI (CL=F),1d,41,278.8774496779798,46.34146341463415,-35.26644065604819,114.33975436797175,15,79.76369360602342,46.666666666666664,-43.849525729938165,11.964554040903508,2.7005545286506467,TOO-RARE(2.7/yr),SURVIVOR,low-vol,long,
1-trend,donchian20 k5-structtrail short gate=ungated,CL,WTI (CL=F),1d,49,-126.6658062746375,34.69387755102041,-83.22639635176297,-62.06624507457238,15,-17.453160291666062,26.666666666666668,-60.087341748114355,-2.6179740437499044,3.0863480327435964,TOO-RARE(3.1/yr),FAIL,ungated,short,
1-trend,donchian20 k5-structtrail short gate=high-vol,CL,WTI (CL=F),1d,34,-160.69269321845405,32.35294117647059,-79.83644136250503,-54.63551569427438,11,-82.0978659674944,27.27272727272727,-64.26718144018949,-9.030765256424388,2.1700884605228414,TOO-RARE(2.2/yr),FAIL,high-vol,short,
1-trend,donchian20 k5-structtrail short gate=low-vol,CL,WTI (CL=F),1d,33,-153.55852166321876,27.27272727272727,-73.58196222822016,-50.674312148862185,10,239.3079279087724,30.0,-47.59461370076149,23.93079279087724,2.073640084499604,TOO-RARE(2.1/yr),FAIL,low-vol,short,
1-trend,donchian55 k5-structtrail long gate=ungated,CL,WTI (CL=F),1d,36,71.51500892973763,44.44444444444444,-31.677784627519273,25.745403214705554,14,91.2406320233644,50.0,-31.96212201089203,12.773688483271005,2.4112094005809346,TOO-RARE(2.4/yr),SURVIVOR,ungated,long,
1-trend,donchian55 k5-structtrail long gate=high-vol,CL,WTI (CL=F),1d,17,580.8229563215248,58.82352941176471,-32.4911436528546,98.73990257465921,9,-41.57763367645344,55.55555555555556,-25.675863428599104,-3.741987030880811,1.253828888302086,TOO-RARE(1.3/yr),INSUFFICIENT-SAMPLE,high-vol,long,
1-trend,donchian55 k5-structtrail long gate=low-vol,CL,WTI (CL=F),1d,33,28.114162532421798,39.39393939393939,-41.776148473060395,9.277673635699202,10,330.3912929649279,40.0,-26.06016200129817,33.039129296492796,2.073640084499604,TOO-RARE(2.1/yr),SURVIVOR,low-vol,long,
1-trend,donchian55 k5-structtrail short gate=ungated,CL,WTI (CL=F),1d,25,-68.97768482434323,40.0,-59.336309511575436,-17.244421206085804,6,558.8516657616343,50.0,-53.13182812828774,33.53109994569805,1.4949498283601796,TOO-RARE(1.5/yr),INSUFFICIENT-SAMPLE,ungated,short,
1-trend,donchian55 k5-structtrail short gate=high-vol,CL,WTI (CL=F),1d,20,-89.23985848877392,35.0,-58.66348069714731,-17.847971697754783,4,1097.384756537118,50.0,-53.13182812828775,43.89539026148472,1.1573805122788487,TOO-RARE(1.2/yr),INSUFFICIENT-SAMPLE,high-vol,short,
1-trend,donchian55 k5-structtrail short gate=low-vol,CL,WTI (CL=F),1d,15,-38.91463552628787,33.33333333333333,-44.664988830094714,-5.837195328943179,4,805.3377549473862,50.0,-47.60633483357755,32.213510197895445,0.9162595722207552,TOO-RARE(0.9/yr),INSUFFICIENT-SAMPLE,low-vol,short,
1-trend,donchian20 k5-structtrail long gate=ungated,CL,WTI (CL=F),1h,111,-11.474975268803597,38.73873873873874,-28.412622215091776,-12.737222548371996,39,-15.734880019675797,38.46153846153847,-10.8504128227347,-6.136603207673563,77.71735918198475,OK,FAIL,ungated,long,
1-trend,donchian20 k5-structtrail long gate=high-vol,CL,WTI (CL=F),1h,87,-10.753029899524607,41.37931034482759,-32.15783213941067,-9.355136012586406,30,-20.98793111738202,36.666666666666664,-10.008585673848586,-6.296379335214608,60.6195401619481,OK,FAIL,high-vol,long,
1-trend,donchian20 k5-structtrail long gate=low-vol,CL,WTI (CL=F),1h,71,2.4535974669274827,38.028169014084504,-11.595317865052854,1.742054201518517,30,-26.31885637322248,30.0,-12.732862289752402,-7.895656911966742,52.32968851586973,OK,FAIL,low-vol,long,
1-trend,donchian20 k5-structtrail short gate=ungated,CL,WTI (CL=F),1h,110,0.4999356123588355,34.54545454545455,-28.835474877107693,0.5499291735947098,39,-22.12029108757027,33.33333333333333,-11.860415458079448,-8.626913524152402,77.19924345410485,OK,FAIL,ungated,short,
1-trend,donchian20 k5-structtrail short gate=high-vol,CL,WTI (CL=F),1h,95,1.6281211237076174,33.68421052631579,-28.23077382570724,1.5467150675222419,32,-43.819416875841796,28.125,-18.238271284781206,-14.02221340026938,65.80069744074709,OK,FAIL,high-vol,short,
1-trend,donchian20 k5-structtrail short gate=low-vol,CL,WTI (CL=F),1h,66,-8.77410243424473,28.78787878787879,-22.35286707666498,-5.790907606601525,30,-23.09849301144944,23.333333333333332,-10.977173677403394,-6.9295479034348295,49.73910987647023,OK,FAIL,low-vol,short,
1-trend,donchian55 k5-structtrail long gate=ungated,CL,WTI (CL=F),1h,66,18.181959668843607,42.42424242424242,-15.644836113922766,12.000093381436772,20,-18.329433154225445,30.0,-8.725370987347759,-3.6658866308450833,44.55795259767125,OK,FAIL,ungated,long,
1-trend,donchian55 k5-structtrail long gate=high-vol,CL,WTI (CL=F),1h,54,16.070563867682957,42.592592592592595,-20.04339967885685,8.678104488548799,16,-20.395125926563765,25.0,-6.967235258865702,-3.263220148250201,36.26810095159288,OK,FAIL,high-vol,long,
1-trend,donchian55 k5-structtrail long gate=low-vol,CL,WTI (CL=F),1h,45,9.431170773172116,44.44444444444444,-6.671253870830636,4.244026847927462,15,-43.26981620300928,26.666666666666668,-9.095029144273333,-6.490472430451389,31.0869436727939,OK,FAIL,low-vol,long,
1-trend,donchian55 k5-structtrail short gate=ungated,CL,WTI (CL=F),1h,69,-24.40616756036099,31.88405797101449,-31.700999657489536,-16.84025561664908,21,-44.02469706162715,38.095238095238095,-10.76716818582636,-9.245186382941705,46.63041550919085,OK,FAIL,ungated,short,
1-trend,donchian55 k5-structtrail short gate=high-vol,CL,WTI (CL=F),1h,61,-16.279638162216646,36.0655737704918,-27.827017982229368,-9.930579278952155,18,-72.96469427710589,27.77777777777778,-15.493683077600792,-13.133644969879054,40.93114250251197,OK,FAIL,high-vol,short,
1-trend,donchian55 k5-structtrail short gate=low-vol,CL,WTI (CL=F),1h,38,-21.947003636614824,26.31578947368421,-19.044806158806068,-8.339861381913638,16,-35.65490272620957,37.5,-6.694554810831285,-5.704784436193533,27.97824930551451,OK,FAIL,low-vol,short,
1-trend,donchian20 k5-structtrail long gate=ungated,BZ,Brent (BZ=F),1d,37,218.28782373915345,43.24324324324324,-34.68416608065033,80.76649478348679,14,498.047052276947,35.714285714285715,-32.33042988878134,69.72658731877257,3.3503147482014386,TOO-RARE(3.4/yr),SURVIVOR,ungated,long,
1-trend,donchian20 k5-structtrail long gate=high-vol,BZ,Brent (BZ=F),1d,19,341.812134078273,47.368421052631575,-24.762269207395654,64.94430547487187,10,726.0940164455685,40.0,-32.33042988878134,72.60940164455685,1.9050809352517988,TOO-RARE(1.9/yr),INSUFFICIENT-SAMPLE,high-vol,long,
1-trend,donchian20 k5-structtrail long gate=low-vol,BZ,Brent (BZ=F),1d,32,196.55896204337864,46.875,-38.682622615299984,62.89886785388117,9,539.991775636306,44.44444444444444,-23.411463354754762,48.599259807267536,2.6933902877697844,TOO-RARE(2.7/yr),SURVIVOR,low-vol,long,
1-trend,donchian20 k5-structtrail short gate=ungated,BZ,Brent (BZ=F),1d,29,78.26480800914415,34.48275862068966,-61.979803993264134,22.696794322651815,12,-62.94217794758985,33.33333333333333,-43.48016282824977,-7.553061353710778,2.6933902877697844,TOO-RARE(2.7/yr),INSUFFICIENT-SAMPLE,ungated,short,
1-trend,donchian20 k5-structtrail short gate=high-vol,BZ,Brent (BZ=F),1d,20,96.06793140329418,30.0,-55.613695021960055,19.213586280658834,12,-122.7296177314247,33.33333333333333,-47.492923014478876,-14.727554127770958,2.102158273381295,TOO-RARE(2.1/yr),INSUFFICIENT-SAMPLE,high-vol,short,
1-trend,donchian20 k5-structtrail short gate=low-vol,BZ,Brent (BZ=F),1d,23,-80.8282230332231,34.78260869565217,-44.755842984053544,-18.59049129764131,4,882.5639915462148,50.0,-25.92559193224614,35.30255966184859,1.7736960431654676,TOO-RARE(1.8/yr),INSUFFICIENT-SAMPLE,low-vol,short,
1-trend,donchian55 k5-structtrail long gate=ungated,BZ,Brent (BZ=F),1d,24,374.7072174515618,54.166666666666664,-35.58547188489645,89.92973218837483,9,640.7424368363799,55.55555555555556,-26.540778458829294,57.666819315274196,2.1678507194244605,TOO-RARE(2.2/yr),INSUFFICIENT-SAMPLE,ungated,long,
1-trend,donchian55 k5-structtrail long gate=high-vol,BZ,Brent (BZ=F),1d,11,472.2166931763264,54.54545454545454,-21.24423730630001,51.94383624939589,7,823.741865839869,57.14285714285714,-25.557745348496773,57.66193060879083,1.1824640287769783,TOO-RARE(1.2/yr),INSUFFICIENT-SAMPLE,high-vol,long,
1-trend,donchian55 k5-structtrail long gate=low-vol,BZ,Brent (BZ=F),1d,22,298.1485231126558,54.54545454545454,-35.58553180778121,65.59267508478428,7,671.200363757341,57.14285714285714,-23.411530496583353,46.98402546301388,1.9050809352517988,TOO-RARE(1.9/yr),INSUFFICIENT-SAMPLE,low-vol,long,
1-trend,donchian55 k5-structtrail short gate=ungated,BZ,Brent (BZ=F),1d,16,776.2804884622026,50.0,-33.53389352075373,124.20487815395242,9,-276.9726712017091,11.11111111111111,-49.77979922052871,-24.927540408153813,1.6423111510791366,TOO-RARE(1.6/yr),INSUFFICIENT-SAMPLE,ungated,short,
1-trend,donchian55 k5-structtrail short gate=high-vol,BZ,Brent (BZ=F),1d,13,880.4045390432774,46.15384615384615,-32.446769916108146,114.45259007562605,9,-276.9726712017091,11.11111111111111,-49.77979922052871,-24.927540408153813,1.4452338129496403,TOO-RARE(1.4/yr),INSUFFICIENT-SAMPLE,high-vol,short,
1-trend,donchian55 k5-structtrail short gate=low-vol,BZ,Brent (BZ=F),1d,13,257.2055145378024,46.15384615384615,-33.30070494114595,33.43671688991432,2,-309.0639378968599,0.0,-16.010873423371937,-6.1812787579372035,0.9853866906474821,TOO-RARE(1.0/yr),INSUFFICIENT-SAMPLE,low-vol,short,
1-trend,donchian20 k5-structtrail long gate=ungated,BZ,Brent (BZ=F),1h,109,-2.6535816581165927,41.284403669724774,-19.800695728209103,-2.8924040073470825,36,-18.663386195267222,38.88888888888889,-11.3893962700563,-6.718819030296197,75.22014439578648,OK,FAIL,ungated,long,
1-trend,donchian20 k5-structtrail long gate=high-vol,BZ,Brent (BZ=F),1h,84,-2.0049780323486717,42.857142857142854,-21.110964487128726,-1.6841815471728805,26,-16.932648949973135,42.30769230769231,-13.671906447263622,-4.402488726993015,57.0635578174932,OK,FAIL,high-vol,long,
1-trend,donchian20 k5-structtrail long gate=low-vol,BZ,Brent (BZ=F),1h,63,24.98595343658027,46.03174603174603,-7.209876228779652,15.741150665045577,25,0.933914897019713,40.0,-6.293680935832194,0.23347872425492078,45.65084625399455,OK,SURVIVOR,low-vol,long,
