approach,family,indicator,config,tf,asset,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,verdict,K,confirm,regime,pct_bars_in_regime
1-committee,committee,7-vote committee (context-gated),K>=1,1h,BTC,1.2145748436206971,2.4291496872413942,48.0,444,-1.1539,37.16,-5.12,176,-0.0422,37.5,-0.07,-28.14,6.5,FAIL,1.0,,,
1-committee,committee,7-vote committee (context-gated),K>=2,1h,BTC,1.2145748436206971,2.4291496872413942,48.0,443,-2.8339,36.57,-12.55,175,-2.2485,36.57,-3.93,-30.65,6.0,FAIL,2.0,,,
1-committee,committee,7-vote committee (context-gated),K>=3,1h,BTC,1.2145748436206971,2.4291496872413942,48.0,434,3.2945,38.48,14.3,172,1.612,38.37,2.77,-26.68,6.0,SURVIVOR,3.0,,,
1-committee,committee,7-vote committee (context-gated),K>=4,1h,BTC,1.2145748436206971,2.4291496872413942,48.0,407,-9.225,34.4,-37.55,158,-14.0726,34.18,-22.23,-36.24,6.0,FAIL,4.0,,,
1-committee,committee,7-vote committee (context-gated),K>=5,1h,BTC,1.2145748436206971,2.4291496872413942,48.0,297,-13.2482,32.32,-39.35,112,-7.4356,34.82,-8.33,-19.85,5.0,FAIL,5.0,,,
1-committee,committee,7-vote committee (context-gated),K>=1,15m,BTC,0.5423185784161636,1.0846371568323272,48.0,451,-5.5849,35.03,-25.19,178,-3.6786,36.52,-6.55,-14.17,1.75,FAIL,1.0,,,
1-committee,committee,7-vote committee (context-gated),K>=2,15m,BTC,0.5423185784161636,1.0846371568323272,48.0,451,-5.0149,35.48,-22.62,178,-7.9456,33.71,-14.14,-18.44,1.75,FAIL,2.0,,,
1-committee,committee,7-vote committee (context-gated),K>=3,15m,BTC,0.5423185784161636,1.0846371568323272,48.0,448,-4.4165,35.94,-19.79,175,-6.2704,34.86,-10.97,-15.92,1.75,FAIL,3.0,,,
1-committee,committee,7-vote committee (context-gated),K>=4,15m,BTC,0.5423185784161636,1.0846371568323272,48.0,439,-6.6734,34.17,-29.3,172,-5.3693,35.47,-9.24,-17.44,1.5,FAIL,4.0,,,
1-committee,committee,7-vote committee (context-gated),K>=5,15m,BTC,0.5423185784161636,1.0846371568323272,48.0,378,-10.4058,30.95,-39.33,144,-13.584,29.86,-19.56,-22.31,1.25,FAIL,5.0,,,
2-confirmation,confirmation,A-RSI3-dip-in-uptrend,RAW (no confirmation),1h,BTC,1.5,4.5,48.0,220,53.1339,37.73,116.89,76,26.9218,40.79,20.46,-12.79,14.5,SURVIVOR,,RAW (no confirmation),,
2-confirmation,confirmation,A-RSI3-dip-in-uptrend,MACD-hist>0,1h,BTC,1.5,4.5,48.0,49,61.1095,40.82,29.94,12,-103.6312,16.67,-12.44,-13.98,14.0,FAIL,,MACD-hist>0,,
2-confirmation,confirmation,A-RSI3-dip-in-uptrend,ADX>20,1h,BTC,1.5,4.5,48.0,185,8.6952,32.97,16.09,65,-20.0712,32.31,-13.05,-26.73,14.0,FAIL,,ADX>20,,
2-confirmation,confirmation,A-RSI3-dip-in-uptrend,OBV-vs-MA20,1h,BTC,1.5,4.5,48.0,36,-4.351,30.56,-1.57,15,95.2161,60.0,14.28,-6.61,13.0,FAIL,,OBV-vs-MA20,,
