state,structure,location,quality,momentum,bars,share_pct,populated
transition|mid range|messy|contracting,transition,mid range,messy,contracting,11960,5.39,True
transition|mid range|messy|expanding,transition,mid range,messy,expanding,10617,4.784,True
downtrend|pulling back in trend|messy|contracting,downtrend,pulling back in trend,messy,contracting,8502,3.831,True
uptrend|at range high|messy|contracting,uptrend,at range high,messy,contracting,8219,3.704,True
uptrend|pulling back in trend|messy|contracting,uptrend,pulling back in trend,messy,contracting,8184,3.688,True
downtrend|pulling back in trend|messy|expanding,downtrend,pulling back in trend,messy,expanding,7527,3.392,True
uptrend|pulling back in trend|messy|expanding,uptrend,pulling back in trend,messy,expanding,7505,3.382,True
transition|at range high|messy|contracting,transition,at range high,messy,contracting,7016,3.162,True
uptrend|at range high|messy|expanding,uptrend,at range high,messy,expanding,6683,3.012,True
transition|mid range|clean|contracting,transition,mid range,clean,contracting,6309,2.843,True
downtrend|at range low|messy|contracting,downtrend,at range low,messy,contracting,6210,2.798,True
transition|at range high|messy|expanding,transition,at range high,messy,expanding,5889,2.654,True
transition|at range low|messy|contracting,transition,at range low,messy,contracting,5619,2.532,True
transition|mid range|clean|expanding,transition,mid range,clean,expanding,5472,2.466,True
downtrend|at range low|messy|expanding,downtrend,at range low,messy,expanding,5417,2.441,True
transition|at range low|messy|expanding,transition,at range low,messy,expanding,5298,2.387,True
downtrend|pulling back in trend|clean|contracting,downtrend,pulling back in trend,clean,contracting,4639,2.091,True
uptrend|pulling back in trend|clean|contracting,uptrend,pulling back in trend,clean,contracting,4510,2.032,True
uptrend|at range high|clean|contracting,uptrend,at range high,clean,contracting,4079,1.838,True
downtrend|pulling back in trend|clean|expanding,downtrend,pulling back in trend,clean,expanding,3954,1.782,True
uptrend|pulling back in trend|clean|expanding,uptrend,pulling back in trend,clean,expanding,3941,1.776,True
transition|at range high|clean|contracting,transition,at range high,clean,contracting,3804,1.714,True
transition|mid range|messy|stalling,transition,mid range,messy,stalling,3749,1.689,True
transition|at range high|clean|expanding,transition,at range high,clean,expanding,3260,1.469,True
uptrend|at range high|clean|expanding,uptrend,at range high,clean,expanding,3229,1.455,True
downtrend|at range low|clean|contracting,downtrend,at range low,clean,contracting,3039,1.369,True
transition|at range low|clean|contracting,transition,at range low,clean,contracting,2963,1.335,True
transition|at range low|clean|expanding,transition,at range low,clean,expanding,2749,1.239,True
downtrend|at range low|clean|expanding,downtrend,at range low,clean,expanding,2674,1.205,True
downtrend|pulling back in trend|messy|stalling,downtrend,pulling back in trend,messy,stalling,2571,1.159,True
downtrend|at range high|messy|contracting,downtrend,at range high,messy,contracting,2519,1.135,True
uptrend|pulling back in trend|messy|stalling,uptrend,pulling back in trend,messy,stalling,2510,1.131,True
