state,structure,location,quality,momentum,bars,share_pct,populated
transition|mid range|messy|contracting,transition,mid range,messy,contracting,10626,5.656,True
transition|mid range|messy|expanding,transition,mid range,messy,expanding,9354,4.979,True
downtrend|pulling back in trend|messy|contracting,downtrend,pulling back in trend,messy,contracting,7511,3.998,True
uptrend|pulling back in trend|messy|contracting,uptrend,pulling back in trend,messy,contracting,7074,3.765,True
uptrend|at range high|messy|contracting,uptrend,at range high,messy,contracting,6776,3.607,True
downtrend|pulling back in trend|messy|expanding,downtrend,pulling back in trend,messy,expanding,6471,3.444,True
uptrend|pulling back in trend|messy|expanding,uptrend,pulling back in trend,messy,expanding,6351,3.381,True
transition|at range high|messy|contracting,transition,at range high,messy,contracting,5850,3.114,True
uptrend|at range high|messy|expanding,uptrend,at range high,messy,expanding,5642,3.003,True
transition|mid range|clean|contracting,transition,mid range,clean,contracting,5359,2.853,True
downtrend|at range low|messy|contracting,downtrend,at range low,messy,contracting,5289,2.815,True
transition|at range high|messy|expanding,transition,at range high,messy,expanding,5233,2.785,True
transition|at range low|messy|contracting,transition,at range low,messy,contracting,4758,2.533,True
downtrend|at range low|messy|expanding,downtrend,at range low,messy,expanding,4721,2.513,True
transition|mid range|clean|expanding,transition,mid range,clean,expanding,4533,2.413,True
transition|at range low|messy|expanding,transition,at range low,messy,expanding,4351,2.316,True
downtrend|pulling back in trend|clean|contracting,downtrend,pulling back in trend,clean,contracting,3807,2.026,True
uptrend|pulling back in trend|clean|contracting,uptrend,pulling back in trend,clean,contracting,3585,1.908,True
downtrend|pulling back in trend|clean|expanding,downtrend,pulling back in trend,clean,expanding,3381,1.8,True
uptrend|at range high|clean|contracting,uptrend,at range high,clean,contracting,3330,1.773,True
transition|mid range|messy|stalling,transition,mid range,messy,stalling,3318,1.766,True
uptrend|pulling back in trend|clean|expanding,uptrend,pulling back in trend,clean,expanding,3275,1.743,True
transition|at range high|clean|contracting,transition,at range high,clean,contracting,3124,1.663,True
transition|at range high|clean|expanding,transition,at range high,clean,expanding,2681,1.427,True
uptrend|at range high|clean|expanding,uptrend,at range high,clean,expanding,2659,1.415,True
downtrend|at range low|clean|contracting,downtrend,at range low,clean,contracting,2590,1.379,True
transition|at range low|clean|contracting,transition,at range low,clean,contracting,2460,1.309,True
downtrend|pulling back in trend|messy|stalling,downtrend,pulling back in trend,messy,stalling,2304,1.226,True
transition|at range low|clean|expanding,transition,at range low,clean,expanding,2258,1.202,True
downtrend|at range low|clean|expanding,downtrend,at range low,clean,expanding,2247,1.196,True
uptrend|pulling back in trend|messy|stalling,uptrend,pulling back in trend,messy,stalling,2199,1.17,True
downtrend|at range high|messy|contracting,downtrend,at range high,messy,contracting,2176,1.158,True
downtrend|at range high|messy|expanding,downtrend,at range high,messy,expanding,2008,1.069,True
uptrend|at range high|messy|stalling,uptrend,at range high,messy,stalling,2002,1.066,True
transition|mid range|clean|stalling,transition,mid range,clean,stalling,1844,0.982,False
uptrend|at range low|messy|expanding,uptrend,at range low,messy,expanding,1781,0.948,False
uptrend|at range low|messy|contracting,uptrend,at range low,messy,contracting,1721,0.916,False
