state,structure,location,quality,momentum,bars,share_pct,populated
transition|mid range|messy|contracting,transition,mid range,messy,contracting,2815,6.0,True
transition|mid range|messy|expanding,transition,mid range,messy,expanding,2463,5.25,True
uptrend|at range high|messy|contracting,uptrend,at range high,messy,contracting,2088,4.45,True
downtrend|pulling back in trend|messy|contracting,downtrend,pulling back in trend,messy,contracting,1899,4.047,True
uptrend|pulling back in trend|messy|contracting,uptrend,pulling back in trend,messy,contracting,1843,3.928,True
uptrend|at range high|messy|expanding,uptrend,at range high,messy,expanding,1764,3.76,True
uptrend|pulling back in trend|messy|expanding,uptrend,pulling back in trend,messy,expanding,1755,3.741,True
downtrend|pulling back in trend|messy|expanding,downtrend,pulling back in trend,messy,expanding,1678,3.576,True
transition|at range high|messy|contracting,transition,at range high,messy,contracting,1644,3.504,True
downtrend|at range low|messy|contracting,downtrend,at range low,messy,contracting,1583,3.374,True
transition|at range high|messy|expanding,transition,at range high,messy,expanding,1461,3.114,True
downtrend|at range low|messy|expanding,downtrend,at range low,messy,expanding,1318,2.809,True
transition|at range low|messy|expanding,transition,at range low,messy,expanding,1281,2.73,True
transition|at range low|messy|contracting,transition,at range low,messy,contracting,1251,2.666,True
transition|mid range|clean|contracting,transition,mid range,clean,contracting,1120,2.387,True
transition|mid range|clean|expanding,transition,mid range,clean,expanding,953,2.031,True
transition|mid range|messy|stalling,transition,mid range,messy,stalling,824,1.756,True
downtrend|pulling back in trend|clean|contracting,downtrend,pulling back in trend,clean,contracting,773,1.648,True
transition|at range high|clean|contracting,transition,at range high,clean,contracting,759,1.618,True
uptrend|at range high|clean|contracting,uptrend,at range high,clean,contracting,736,1.569,True
uptrend|pulling back in trend|clean|contracting,uptrend,pulling back in trend,clean,contracting,710,1.513,True
downtrend|pulling back in trend|clean|expanding,downtrend,pulling back in trend,clean,expanding,658,1.402,True
uptrend|pulling back in trend|clean|expanding,uptrend,pulling back in trend,clean,expanding,645,1.375,True
uptrend|at range high|clean|expanding,uptrend,at range high,clean,expanding,576,1.228,True
downtrend|pulling back in trend|messy|stalling,downtrend,pulling back in trend,messy,stalling,561,1.196,True
downtrend|at range low|clean|contracting,downtrend,at range low,clean,contracting,560,1.194,True
