family,indicator,tf,direction,state,btc_tr_exp,btc_va_exp,eth_tr_n,eth_tr_exp,eth_va_n,eth_va_exp,eth_verdict
trend,SMA cross,1h,long,uptrend|at range high|messy|contracting,16.1779,1.723,25,-22.4144,11,62.7886,FAIL
trend,SMA cross,15m,long,downtrend|pulling back in trend|messy|expanding,4.5753,23.5034,61,7.7269,12,8.0571,SURVIVOR
trend,SMA cross,15m,long,uptrend|at range high|messy|expanding,1.022,16.447,68,-14.6229,17,-35.8886,FAIL
trend,SMA cross,15m,short,transition|mid range|clean|contracting,10.3584,5.3815,57,0.3895,17,-10.7896,FAIL
trend,EMA cross,15m,long,uptrend|at range high|messy|expanding,3.7419,13.628,59,-24.4306,21,-15.135,FAIL
trend,EMA cross,15m,short,transition|mid range|clean|expanding,0.3946,38.9636,54,-20.7527,17,-1.8584,FAIL
trend,EMA cross,15m,long,uptrend|at range high|clean|contracting,4.264,17.9749,31,13.4293,11,44.873,SURVIVOR
trend,EMA cross,15m,long,transition|at range high|clean|expanding,0.0336,9.2782,94,-16.6949,35,-34.0807,FAIL
trend,MACD line/signal cross,1h,long,transition|mid range|messy|contracting,15.9936,46.265,60,-7.4253,19,46.1282,FAIL
trend,MACD line/signal cross,1h,long,downtrend|pulling back in trend|messy|contracting,33.2716,15.1679,84,14.6813,19,-0.0769,FAIL
trend,MACD line/signal cross,1h,short,uptrend|at range high|messy|expanding,1.3887,12.0843,26,-53.8531,8,-17.5325,FAIL
trend,MACD line/signal cross,1h,long,downtrend|pulling back in trend|clean|contracting,23.0956,26.9963,30,-56.3955,6,64.2895,UNRELIABLE
trend,MACD line/signal cross,1h,short,uptrend|pulling back in trend|clean|contracting,59.6815,33.2117,23,-9.1644,8,-34.5123,FAIL
trend,MACD line/signal cross,1h,short,uptrend|at range low|messy|expanding,10.9298,180.9829,31,51.39,15,46.7641,SURVIVOR
trend,MACD line/signal cross,15m,long,uptrend|at range high|messy|contracting,2.7341,14.3834,44,0.1988,19,25.3679,SURVIVOR
trend,MACD line/signal cross,15m,short,transition|at range high|messy|expanding,3.661,8.4535,43,-29.5869,13,-14.2214,FAIL
trend,MACD line/signal cross,15m,short,transition|at range low|messy|expanding,1.439,11.8671,151,-9.9911,46,6.6024,FAIL
trend,MACD histogram 0-cross,1h,long,transition|mid range|messy|contracting,15.9936,46.265,60,-7.4253,19,46.1282,FAIL
trend,MACD histogram 0-cross,1h,long,downtrend|pulling back in trend|messy|contracting,33.2716,15.1679,84,14.6813,19,-0.0769,FAIL
trend,MACD histogram 0-cross,1h,short,uptrend|at range high|messy|expanding,1.3887,12.0843,26,-53.8531,8,-17.5325,FAIL
trend,MACD histogram 0-cross,1h,long,downtrend|pulling back in trend|clean|contracting,23.0956,26.9963,30,-56.3955,6,64.2895,UNRELIABLE
trend,MACD histogram 0-cross,1h,short,uptrend|pulling back in trend|clean|contracting,59.6815,33.2117,23,-9.1644,8,-34.5123,FAIL
trend,MACD histogram 0-cross,1h,short,uptrend|at range low|messy|expanding,10.9298,180.9829,31,51.39,15,46.7641,SURVIVOR
trend,MACD histogram 0-cross,15m,long,uptrend|at range high|messy|contracting,2.7341,14.3834,44,0.1988,19,25.3679,SURVIVOR
trend,MACD histogram 0-cross,15m,short,transition|at range high|messy|expanding,3.661,8.4535,43,-29.5869,13,-14.2214,FAIL
trend,MACD histogram 0-cross,15m,short,transition|at range low|messy|expanding,1.439,11.8671,151,-9.9911,46,6.6024,FAIL
trend,Aroon up/down cross,1h,long,downtrend|pulling back in trend|messy|contracting,8.3906,39.5229,43,-40.3029,18,-38.8869,FAIL
trend,Aroon up/down cross,1h,long,transition|at range high|messy|expanding,11.6581,73.8319,60,-7.3933,22,-63.1375,FAIL
trend,Aroon up/down cross,1h,short,transition|mid range|messy|stalling,17.4542,0.3584,19,38.9532,5,-49.4866,UNRELIABLE
trend,Aroon up/down cross,1h,long,downtrend|pulling back in trend|clean|expanding,1.5278,56.1449,29,-6.364,6,164.7962,UNRELIABLE
trend,Aroon up/down cross,15m,long,downtrend|at range low|messy|contracting,2.3572,10.9158,26,-10.1956,5,-36.8211,UNRELIABLE
trend,Aroon up/down cross,15m,long,uptrend|at range high|clean|contracting,18.4885,36.6628,13,38.8414,5,4.3493,UNRELIABLE
trend,Aroon up/down cross,15m,long,transition|at range high|clean|contracting,8.385,5.8819,73,1.5667,24,21.0991,SURVIVOR
trend,Aroon oscillator 0-cross,1h,long,downtrend|pulling back in trend|messy|contracting,8.3906,39.5229,43,-40.3029,18,-38.8869,FAIL
trend,Aroon oscillator 0-cross,1h,long,transition|at range high|messy|expanding,11.6581,73.8319,60,-7.3933,22,-63.1375,FAIL
trend,Aroon oscillator 0-cross,1h,short,transition|mid range|messy|stalling,17.4542,0.3584,19,38.9532,5,-49.4866,UNRELIABLE
trend,Aroon oscillator 0-cross,1h,long,downtrend|pulling back in trend|clean|expanding,1.5278,56.1449,29,-6.364,6,164.7962,UNRELIABLE
trend,Aroon oscillator 0-cross,15m,long,downtrend|at range low|messy|contracting,2.3572,10.9158,26,-10.1956,5,-36.8211,UNRELIABLE
trend,Aroon oscillator 0-cross,15m,long,uptrend|at range high|clean|contracting,18.4885,36.6628,13,38.8414,5,4.3493,UNRELIABLE
trend,Aroon oscillator 0-cross,15m,long,transition|at range high|clean|contracting,8.385,5.8819,73,1.5667,24,21.0991,SURVIVOR
trend,ADX/DMI DI cross,1h,short,transition|mid range|messy|contracting,8.7498,30.2517,75,11.9384,21,-11.6459,FAIL
trend,ADX/DMI DI cross,1h,long,uptrend|pulling back in trend|messy|expanding,25.6146,16.619,29,-43.713,13,-22.2831,FAIL
trend,ADX/DMI DI cross,1h,short,uptrend|pulling back in trend|messy|expanding,15.2892,0.3306,80,-0.11,33,-38.366,FAIL
trend,ADX/DMI DI cross,1h,long,transition|at range high|messy|expanding,6.1761,28.4998,64,11.6563,32,10.0557,SURVIVOR
trend,ADX/DMI DI cross,1h,long,transition|mid range|clean|expanding,45.8352,57.3718,47,-20.8039,16,-44.4105,FAIL
trend,ADX/DMI DI cross,1h,short,transition|mid range|clean|expanding,8.0271,9.4988,41,37.1032,10,23.7218,SURVIVOR
trend,ADX/DMI DI cross,1h,long,downtrend|at range high|messy|expanding,24.3678,22.6363,48,-9.9441,19,-15.4368,FAIL
trend,ADX/DMI DI cross,1h,short,uptrend|at range low|messy|expanding,2.043,47.2888,43,-11.9832,23,10.104,FAIL
trend,ADX/DMI DI cross,15m,long,transition|at range high|clean|contracting,1.9123,8.9582,55,-14.294,20,12.1836,FAIL
trend,ADX/DMI DI-cross+ADX>thresh,1h,short,transition|mid range|messy|contracting,2.8929,121.9028,29,-22.91,9,40.115,FAIL
trend,ADX/DMI DI-cross+ADX>thresh,1h,long,uptrend|at range high|messy|contracting,18.2874,95.1537,29,14.9695,8,-27.0439,FAIL
trend,ADX/DMI DI-cross+ADX>thresh,1h,short,uptrend|pulling back in trend|messy|expanding,7.9138,54.5585,36,-23.2702,13,23.4445,FAIL
trend,ADX/DMI DI-cross+ADX>thresh,1h,long,transition|at range high|clean|expanding,2.9321,3.9097,28,16.4001,3,139.8449,UNRELIABLE
trend,ADX/DMI DI-cross+ADX>thresh,1h,short,uptrend|at range low|messy|expanding,7.3779,57.6515,31,-22.8632,18,-41.0913,FAIL
trend,ADX/DMI DI-cross+ADX>thresh,15m,short,uptrend|at range high|messy|contracting,9.7103,23.7058,22,-13.5175,7,41.1212,UNRELIABLE
trend,ADX/DMI DI-cross+ADX>thresh,15m,short,transition|at range high|messy|contracting,0.8821,2.322,36,0.6385,7,-18.9231,UNRELIABLE
trend,ADX/DMI DI-cross+ADX>thresh,15m,long,downtrend|pulling back in trend|clean|contracting,23.775,40.6252,30,3.36,11,-21.9472,FAIL
trend,ADX/DMI DI-cross+ADX>thresh,15m,long,uptrend|at range high|clean|contracting,7.6488,1.3714,56,-20.2964,15,15.5004,FAIL
trend,ADX/DMI DI-cross+ADX>thresh,15m,short,uptrend|pulling back in trend|clean|expanding,17.0874,7.5094,77,6.3077,21,42.6774,SURVIVOR
trend,SuperTrend,1h,short,uptrend|at range low|messy|expanding,15.1171,52.8555,17,-18.4913,9,-47.1224,UNRELIABLE
trend,SuperTrend,15m,short,downtrend|at range low|messy|expanding,12.8702,9.0447,41,5.4122,7,41.5664,UNRELIABLE
trend,Parabolic SAR,1h,long,downtrend|pulling back in trend|messy|contracting,10.9151,26.8587,63,15.3785,25,-19.8801,FAIL
trend,Parabolic SAR,1h,short,uptrend|pulling back in trend|messy|contracting,16.6086,68.7131,40,3.3636,15,18.3204,SURVIVOR
trend,Parabolic SAR,1h,long,transition|mid range|clean|expanding,9.2052,24.2162,40,-48.0237,16,6.5847,FAIL
trend,Parabolic SAR,1h,long,downtrend|pulling back in trend|clean|expanding,16.396,4.2492,49,-6.6324,14,62.6055,FAIL
trend,Parabolic SAR,15m,short,transition|mid range|messy|stalling,15.6323,23.1724,67,-26.3894,25,4.2745,FAIL
trend,Parabolic SAR,15m,long,downtrend|at range low|clean|contracting,5.1378,27.1386,35,-16.5308,15,4.4905,FAIL
trend,Parabolic SAR,15m,long,downtrend|at range high|messy|contracting,6.7087,30.2217,49,1.8874,14,-10.1482,FAIL
trend,Vortex VI+/VI- cross,1h,long,transition|mid range|messy|contracting,3.8741,3.9063,136,-17.0203,41,-9.9066,FAIL
trend,Vortex VI+/VI- cross,1h,short,uptrend|pulling back in trend|messy|contracting,3.0999,17.4219,80,-19.4961,31,16.4483,FAIL
trend,Vortex VI+/VI- cross,1h,long,transition|at range high|messy|contracting,16.2732,16.1067,29,-48.0757,13,94.4969,FAIL
trend,Vortex VI+/VI- cross,1h,long,transition|mid range|clean|expanding,2.9686,22.322,58,-51.5826,13,-33.2726,FAIL
trend,Vortex VI+/VI- cross,1h,long,downtrend|pulling back in trend|clean|contracting,43.0855,0.3158,28,-54.3438,14,-79.7976,FAIL
trend,Vortex VI+/VI- cross,1h,long,downtrend|pulling back in trend|clean|expanding,58.0947,6.9805,32,15.8667,9,90.0583,SURVIVOR
trend,Vortex VI+/VI- cross,15m,long,uptrend|pulling back in trend|clean|expanding,2.0304,9.3673,84,-12.5205,29,-13.7952,FAIL
trend,Vortex VI+/VI- cross,15m,short,transition|at range high|clean|expanding,8.1082,2.4229,29,-50.3488,7,-18.7019,UNRELIABLE
trend,KAMA cross,1h,long,downtrend|pulling back in trend|messy|expanding,21.0386,13.7148,164,-7.1342,56,8.7966,FAIL
trend,KAMA cross,1h,short,uptrend|pulling back in trend|messy|expanding,14.9753,7.5784,187,-3.4694,73,22.968,FAIL
trend,KAMA cross,1h,long,transition|at range high|messy|expanding,9.3192,42.2008,91,-1.856,29,18.84,FAIL
trend,KAMA cross,1h,short,transition|mid range|clean|contracting,1.0042,14.2661,44,14.4471,10,5.9372,SURVIVOR
trend,KAMA cross,1h,long,downtrend|at range high|messy|expanding,43.6613,40.7692,61,3.6512,23,-61.1298,FAIL
trend,KAMA cross,1h,short,uptrend|at range low|messy|expanding,7.2536,88.2611,58,33.7055,21,16.115,SURVIVOR
trend,Hull MA cross,1h,long,downtrend|pulling back in trend|messy|expanding,21.6982,15.1864,216,-14.7401,60,-6.0986,FAIL
trend,Hull MA cross,1h,short,transition|at range high|messy|contracting,0.9895,3.8481,177,-15.7447,61,-12.4014,FAIL
trend,Hull MA cross,1h,long,transition|at range low|messy|contracting,5.1763,43.1748,139,-32.2678,49,-51.3792,FAIL
trend,Hull MA cross,1h,long,transition|at range high|clean|contracting,43.6389,4.5749,40,-11.9146,11,-36.4027,FAIL
trend,Hull MA cross,1h,short,uptrend|pulling back in trend|clean|expanding,15.4827,7.8979,58,19.8558,17,21.6226,SURVIVOR
trend,Hull MA cross,1h,long,downtrend|pulling back in trend|messy|stalling,7.6546,8.8744,60,50.1905,16,21.1666,SURVIVOR
trend,Hull MA cross,1h,long,uptrend|pulling back in trend|messy|stalling,2.6098,16.1703,33,-37.8963,19,-70.858,FAIL
trend,Hull MA cross,1h,long,downtrend|at range high|messy|expanding,3.7645,32.7592,65,22.7281,28,-51.0287,FAIL
trend,Hull MA cross,1h,short,uptrend|at range low|messy|expanding,10.3581,12.625,62,11.9337,20,49.165,SURVIVOR
trend,DEMA cross,1h,long,downtrend|pulling back in trend|messy|contracting,57.2907,2.7863,53,-4.5174,18,-30.0595,FAIL
trend,DEMA cross,1h,long,transition|mid range|clean|expanding,27.2925,146.3269,24,-25.5675,13,37.7033,FAIL
trend,DEMA cross,1h,long,downtrend|pulling back in trend|clean|expanding,54.7653,159.3518,30,-14.2475,9,176.5774,FAIL
trend,DEMA cross,1h,short,uptrend|at range low|messy|expanding,56.3758,207.6828,26,40.7956,13,52.6145,SURVIVOR
trend,DEMA cross,15m,long,transition|at range high|messy|contracting,11.3025,5.5968,66,8.6488,15,-0.6268,FAIL
trend,DEMA cross,15m,long,uptrend|at range high|messy|expanding,14.5689,9.6829,74,-21.9651,19,-2.0792,FAIL
