family,indicator,tf,direction,state,tr_n,tr_exp,tr_win_pct,tr_ret_pct,va_n,va_exp,va_win_pct,va_ret_pct,va_dd_pct,verdict,tr_fee_share,va_fee_share
trend,SMA cross,1h,long,transition|mid range|messy|contracting,29,-22.1366,37.93,-6.42,9,-54.7482,22.22,-4.93,-7.74,FAIL,,
trend,SMA cross,1h,short,transition|mid range|messy|contracting,49,-13.4139,38.78,-6.57,11,-38.9795,27.27,-4.29,-6.13,FAIL,,
trend,SMA cross,1h,long,transition|mid range|messy|expanding,31,-11.8106,38.71,-3.66,10,-11.3033,30.0,-1.13,-3.96,FAIL,,
trend,SMA cross,1h,short,transition|mid range|messy|expanding,41,21.4804,51.22,8.81,12,-54.1091,25.0,-6.49,-7.78,FAIL,,
trend,SMA cross,1h,long,uptrend|at range high|messy|contracting,26,16.1779,42.31,4.21,8,1.723,37.5,0.14,-4.67,SURVIVOR,,
trend,SMA cross,1h,short,uptrend|at range high|messy|contracting,0,,,,0,,,,,NO-TRADES,,
trend,SMA cross,1h,long,downtrend|pulling back in trend|messy|contracting,12,94.0662,75.0,11.29,5,-19.1877,60.0,-0.96,-2.91,UNRELIABLE,,
trend,SMA cross,1h,short,downtrend|pulling back in trend|messy|contracting,17,30.1286,47.06,5.12,6,-76.0846,33.33,-4.57,-6.04,UNRELIABLE,,
trend,SMA cross,1h,long,uptrend|pulling back in trend|messy|contracting,18,-1.6404,33.33,-0.3,5,75.9023,60.0,3.8,-2.9,UNRELIABLE,,
trend,SMA cross,1h,short,uptrend|pulling back in trend|messy|contracting,20,7.1132,45.0,1.42,6,-25.1407,33.33,-1.51,-3.45,UNRELIABLE,,
trend,SMA cross,1h,long,uptrend|at range high|messy|expanding,24,-10.2308,37.5,-2.46,12,-53.0528,33.33,-6.37,-6.72,FAIL,,
trend,SMA cross,1h,short,uptrend|at range high|messy|expanding,0,0.0,0.0,0.0,1,-132.5686,0.0,-1.33,-1.33,UNRELIABLE,,
trend,SMA cross,1h,long,downtrend|pulling back in trend|messy|expanding,18,76.4227,61.11,13.76,4,-101.7876,0.0,-4.07,-4.39,UNRELIABLE,,
trend,SMA cross,1h,short,downtrend|pulling back in trend|messy|expanding,22,36.6153,50.0,8.06,3,12.5528,66.67,0.38,-1.87,UNRELIABLE,,
trend,SMA cross,1h,long,transition|at range high|messy|contracting,56,-3.0818,32.14,-1.73,18,-29.0708,33.33,-5.23,-9.24,FAIL,,
trend,SMA cross,1h,short,transition|at range high|messy|contracting,0,0.0,0.0,0.0,1,238.9234,100.0,2.39,0.0,UNRELIABLE,,
trend,SMA cross,1h,long,uptrend|pulling back in trend|messy|expanding,11,73.0009,54.55,8.03,4,16.5928,75.0,0.66,-1.56,UNRELIABLE,,
trend,SMA cross,1h,short,uptrend|pulling back in trend|messy|expanding,13,10.6173,38.46,1.38,2,53.1022,50.0,1.06,-2.53,UNRELIABLE,,
trend,SMA cross,1h,long,transition|at range high|messy|expanding,50,-17.187,30.0,-8.59,17,-37.1648,23.53,-6.32,-9.05,FAIL,,
trend,SMA cross,1h,short,transition|at range high|messy|expanding,3,-9.6386,33.33,-0.29,2,52.7488,50.0,1.05,-1.73,UNRELIABLE,,
trend,SMA cross,1h,long,downtrend|at range low|messy|contracting,0,,,,0,,,,,NO-TRADES,,
trend,SMA cross,1h,short,downtrend|at range low|messy|contracting,13,-20.923,30.77,-2.72,5,-42.0325,20.0,-2.1,-5.21,UNRELIABLE,,
trend,SMA cross,1h,long,transition|at range low|messy|contracting,2,-106.0097,0.0,-2.12,1,24.971,100.0,0.25,-0.81,UNRELIABLE,,
trend,SMA cross,1h,short,transition|at range low|messy|contracting,54,-5.4467,35.19,-2.94,15,-37.3783,26.67,-5.61,-7.34,FAIL,,
trend,SMA cross,1h,long,downtrend|at range low|messy|expanding,0,,,,0,,,,,NO-TRADES,,
trend,SMA cross,1h,short,downtrend|at range low|messy|expanding,14,-5.8929,35.71,-0.83,5,-98.3769,20.0,-4.92,-6.09,UNRELIABLE,,
trend,SMA cross,1h,long,transition|at range low|messy|expanding,2,-131.8396,0.0,-2.64,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,short,transition|at range low|messy|expanding,36,24.0887,52.78,8.67,15,-26.6129,26.67,-3.99,-7.09,FAIL,,
trend,SMA cross,1h,long,transition|mid range|clean|contracting,18,-19.3073,33.33,-3.48,9,-103.6115,11.11,-9.33,-10.95,UNRELIABLE,,
trend,SMA cross,1h,short,transition|mid range|clean|contracting,21,-30.8985,38.1,-6.49,4,-2.7821,50.0,-0.11,-2.84,UNRELIABLE,,
trend,SMA cross,1h,long,transition|mid range|clean|expanding,14,14.9549,42.86,2.09,1,238.5099,100.0,2.39,-0.47,UNRELIABLE,,
trend,SMA cross,1h,short,transition|mid range|clean|expanding,12,-39.0898,25.0,-4.69,5,3.2702,40.0,0.16,-3.86,UNRELIABLE,,
trend,SMA cross,1h,long,transition|mid range|messy|stalling,9,104.8874,66.67,9.44,2,-132.8205,0.0,-2.66,-2.78,UNRELIABLE,,
trend,SMA cross,1h,short,transition|mid range|messy|stalling,16,-72.2828,12.5,-11.57,3,-91.808,0.0,-2.75,-2.75,UNRELIABLE,,
trend,SMA cross,1h,long,transition|at range high|clean|contracting,24,21.3532,50.0,5.12,5,-35.0983,20.0,-1.75,-3.47,UNRELIABLE,,
trend,SMA cross,1h,short,transition|at range high|clean|contracting,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,long,downtrend|pulling back in trend|clean|contracting,7,3.1857,57.14,0.22,2,50.2756,50.0,1.01,-2.18,UNRELIABLE,,
trend,SMA cross,1h,short,downtrend|pulling back in trend|clean|contracting,7,0.2664,42.86,0.02,2,-72.0788,0.0,-1.44,-2.19,UNRELIABLE,,
trend,SMA cross,1h,long,uptrend|pulling back in trend|clean|contracting,6,-56.0197,16.67,-3.36,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,short,uptrend|pulling back in trend|clean|contracting,7,197.0155,85.71,13.79,3,115.7161,66.67,3.47,-2.07,UNRELIABLE,,
trend,SMA cross,1h,long,uptrend|at range high|clean|contracting,12,11.8781,41.67,1.43,1,238.7897,100.0,2.39,-0.32,UNRELIABLE,,
trend,SMA cross,1h,short,uptrend|at range high|clean|contracting,1,-129.1375,0.0,-1.29,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,long,uptrend|pulling back in trend|clean|expanding,6,15.8597,50.0,0.95,4,100.2393,75.0,4.01,-1.54,UNRELIABLE,,
trend,SMA cross,1h,short,uptrend|pulling back in trend|clean|expanding,4,100.4619,50.0,4.02,1,239.5788,100.0,2.4,-0.35,UNRELIABLE,,
trend,SMA cross,1h,long,downtrend|pulling back in trend|clean|expanding,10,57.1142,60.0,5.71,3,-11.5174,33.33,-0.35,-1.77,UNRELIABLE,,
trend,SMA cross,1h,short,downtrend|pulling back in trend|clean|expanding,10,76.686,60.0,7.67,4,106.0942,75.0,4.24,-1.68,UNRELIABLE,,
trend,SMA cross,1h,long,transition|at range high|clean|expanding,22,-29.2942,27.27,-6.44,10,75.2108,70.0,7.52,-3.59,FAIL,,
trend,SMA cross,1h,short,transition|at range high|clean|expanding,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,long,transition|at range low|clean|contracting,2,-132.7712,0.0,-2.66,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,short,transition|at range low|clean|contracting,27,-42.6072,29.63,-11.5,11,-55.58,18.18,-6.11,-6.41,FAIL,,
trend,SMA cross,1h,long,downtrend|at range high|messy|contracting,30,-16.0844,36.67,-4.83,11,-72.677,27.27,-7.99,-8.74,FAIL,,
trend,SMA cross,1h,short,downtrend|at range high|messy|contracting,2,11.1777,50.0,0.22,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,long,uptrend|at range high|clean|expanding,10,58.1527,60.0,5.82,1,-133.7306,0.0,-1.34,-2.84,UNRELIABLE,,
trend,SMA cross,1h,short,uptrend|at range high|clean|expanding,1,-131.4467,0.0,-1.31,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,long,downtrend|at range low|clean|contracting,0,,,,0,,,,,NO-TRADES,,
trend,SMA cross,1h,short,downtrend|at range low|clean|contracting,6,6.8082,33.33,0.41,1,238.9636,100.0,2.39,0.0,UNRELIABLE,,
trend,SMA cross,1h,long,downtrend|pulling back in trend|messy|stalling,4,51.362,50.0,2.05,1,238.8664,100.0,2.39,0.0,UNRELIABLE,,
trend,SMA cross,1h,short,downtrend|pulling back in trend|messy|stalling,12,111.2302,75.0,13.35,3,-18.6822,33.33,-0.56,-2.26,UNRELIABLE,,
trend,SMA cross,1h,long,uptrend|at range high|messy|stalling,7,12.0412,71.43,0.84,4,-40.6419,25.0,-1.63,-4.23,UNRELIABLE,,
trend,SMA cross,1h,short,uptrend|at range high|messy|stalling,1,-131.7706,0.0,-1.32,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,long,transition|at range low|clean|expanding,1,-134.1014,0.0,-1.34,3,-11.4622,33.33,-0.34,-3.0,UNRELIABLE,,
trend,SMA cross,1h,short,transition|at range low|clean|expanding,14,-2.4033,42.86,-0.34,11,-37.1506,36.36,-4.09,-8.95,UNRELIABLE,,
trend,SMA cross,1h,long,uptrend|pulling back in trend|messy|stalling,4,18.6713,25.0,0.75,4,54.8986,50.0,2.2,-1.69,UNRELIABLE,,
trend,SMA cross,1h,short,uptrend|pulling back in trend|messy|stalling,5,91.6441,60.0,4.58,2,52.8643,50.0,1.06,-2.6,UNRELIABLE,,
trend,SMA cross,1h,long,uptrend|at range low|messy|contracting,1,-131.884,0.0,-1.32,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,short,uptrend|at range low|messy|contracting,27,-15.2247,33.33,-4.11,15,29.1543,46.67,4.37,-5.88,FAIL,,
trend,SMA cross,1h,long,downtrend|at range high|messy|expanding,24,-5.1966,41.67,-1.25,13,8.5666,38.46,1.11,-3.92,FAIL,,
trend,SMA cross,1h,short,downtrend|at range high|messy|expanding,0,,,,0,,,,,NO-TRADES,,
trend,SMA cross,1h,long,uptrend|at range low|messy|expanding,0,,,,0,,,,,NO-TRADES,,
trend,SMA cross,1h,short,uptrend|at range low|messy|expanding,31,-15.2447,29.03,-4.73,12,-8.9975,33.33,-1.08,-4.66,FAIL,,
trend,SMA cross,1h,long,downtrend|at range low|clean|expanding,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,UNRELIABLE,,
trend,SMA cross,1h,short,downtrend|at range low|clean|expanding,12,-3.1986,41.67,-0.38,3,-118.4877,0.0,-3.55,-4.0,UNRELIABLE,,
trend,SMA cross,15m,long,transition|mid range|messy|contracting,138,-16.9548,28.99,-23.4,36,13.7435,50.0,4.95,-3.81,FAIL,,0.3687
trend,SMA cross,15m,short,transition|mid range|messy|contracting,163,-9.7639,32.52,-15.92,52,-7.7477,36.54,-4.03,-6.65,FAIL,,
trend,SMA cross,15m,long,transition|mid range|messy|expanding,113,-14.6161,28.32,-16.52,42,-6.3516,42.86,-2.67,-7.33,FAIL,,4.2814
trend,SMA cross,15m,short,transition|mid range|messy|expanding,123,-14.3943,30.08,-17.7,34,-15.7604,32.35,-5.36,-6.89,FAIL,,
trend,SMA cross,15m,long,downtrend|pulling back in trend|messy|contracting,63,-11.8529,34.92,-7.47,16,-4.85,37.5,-0.78,-3.09,FAIL,,2.3055
trend,SMA cross,15m,short,downtrend|pulling back in trend|messy|contracting,85,-18.0863,29.41,-15.37,26,-29.5418,23.08,-7.68,-8.01,FAIL,,
trend,SMA cross,15m,long,uptrend|at range high|messy|contracting,101,-13.7771,30.69,-13.91,36,-3.3423,38.89,-1.2,-5.77,FAIL,,1.6965
trend,SMA cross,15m,short,uptrend|at range high|messy|contracting,1,104.8285,100.0,1.05,0,0.0,0.0,0.0,0.0,UNRELIABLE,0.0335,
trend,SMA cross,15m,long,uptrend|pulling back in trend|messy|contracting,61,-13.9526,27.87,-8.51,16,-12.8895,31.25,-2.06,-4.43,FAIL,,
trend,SMA cross,15m,short,uptrend|pulling back in trend|messy|contracting,74,-8.8708,36.49,-6.56,13,34.7999,61.54,4.52,-1.65,FAIL,,0.1537
trend,SMA cross,15m,long,downtrend|pulling back in trend|messy|expanding,58,4.5753,41.38,2.65,14,23.5034,50.0,3.29,-1.75,SURVIVOR,0.6293,0.2516
trend,SMA cross,15m,short,downtrend|pulling back in trend|messy|expanding,52,0.446,42.31,0.23,23,-32.0614,21.74,-7.37,-8.09,FAIL,0.9433,
trend,SMA cross,15m,long,uptrend|pulling back in trend|messy|expanding,66,-2.1431,40.91,-1.41,18,-9.2439,33.33,-1.66,-4.28,FAIL,1.3579,
trend,SMA cross,15m,short,uptrend|pulling back in trend|messy|expanding,66,12.9867,46.97,8.57,18,-27.1776,22.22,-4.89,-7.74,FAIL,0.3551,
trend,SMA cross,15m,long,transition|at range high|messy|contracting,235,-11.1694,31.91,-26.25,67,-17.4544,28.36,-11.69,-13.64,FAIL,,
trend,SMA cross,15m,short,transition|at range high|messy|contracting,12,10.3621,41.67,1.24,2,105.9457,100.0,2.12,-0.67,UNRELIABLE,0.359,0.0283
trend,SMA cross,15m,long,uptrend|at range high|messy|expanding,91,1.022,40.66,0.93,19,16.447,47.37,3.12,-4.02,SURVIVOR,0.8953,0.3147
trend,SMA cross,15m,short,uptrend|at range high|messy|expanding,5,3.0119,40.0,0.15,0,0.0,0.0,0.0,0.0,UNRELIABLE,0.7131,
trend,SMA cross,15m,long,transition|mid range|clean|contracting,60,-15.8919,31.67,-9.54,26,3.392,42.31,0.88,-4.27,FAIL,,0.7067
trend,SMA cross,15m,short,transition|mid range|clean|contracting,84,10.3584,46.43,8.7,25,5.3815,48.0,1.35,-4.43,SURVIVOR,0.4248,0.5604
trend,SMA cross,15m,long,downtrend|at range low|messy|contracting,1,104.3932,100.0,1.04,1,103.9404,100.0,1.04,-0.44,UNRELIABLE,0.0375,0.0417
trend,SMA cross,15m,short,downtrend|at range low|messy|contracting,91,-14.8252,31.87,-13.49,20,30.9156,60.0,6.18,-2.12,FAIL,,0.1662
trend,SMA cross,15m,long,transition|at range high|messy|expanding,180,-12.9683,31.11,-23.34,57,2.7821,40.35,1.59,-5.78,FAIL,,0.7481
trend,SMA cross,15m,short,transition|at range high|messy|expanding,9,9.5683,44.44,0.86,3,-64.8193,0.0,-1.94,-1.94,UNRELIABLE,0.4626,
trend,SMA cross,15m,long,transition|at range low|messy|contracting,3,-41.3446,33.33,-1.24,1,6.0014,100.0,0.06,-0.25,UNRELIABLE,,0.4121
trend,SMA cross,15m,short,transition|at range low|messy|contracting,175,-11.227,33.14,-19.65,70,2.3815,42.86,1.67,-4.6,FAIL,,0.7573
trend,SMA cross,15m,long,transition|mid range|clean|expanding,61,-10.35,34.43,-6.31,14,19.355,50.0,2.71,-2.02,FAIL,,0.2855
trend,SMA cross,15m,short,transition|mid range|clean|expanding,60,-1.5034,40.0,-0.9,16,-22.3838,25.0,-3.58,-3.65,FAIL,1.2478,
trend,SMA cross,15m,long,downtrend|at range low|messy|expanding,2,19.3788,50.0,0.39,0,0.0,0.0,0.0,0.0,UNRELIABLE,0.2759,
trend,SMA cross,15m,short,downtrend|at range low|messy|expanding,80,-0.5643,40.0,-0.45,15,-32.06,20.0,-4.81,-4.96,FAIL,1.0819,
trend,SMA cross,15m,long,transition|at range low|messy|expanding,4,-5.3671,50.0,-0.21,1,-65.6435,0.0,-0.66,-1.02,UNRELIABLE,3.5419,
trend,SMA cross,15m,short,transition|at range low|messy|expanding,187,-0.9771,38.5,-1.83,58,-22.2701,25.86,-12.92,-14.41,FAIL,1.1461,
trend,SMA cross,15m,long,downtrend|pulling back in trend|clean|contracting,28,-12.4761,32.14,-3.49,10,18.8978,50.0,1.89,-2.48,FAIL,,0.301
trend,SMA cross,15m,short,downtrend|pulling back in trend|clean|contracting,47,-26.1942,23.4,-12.31,16,-17.3346,31.25,-2.77,-6.38,FAIL,,
trend,SMA cross,15m,long,uptrend|pulling back in trend|clean|contracting,41,-8.8208,34.15,-3.62,10,10.4832,50.0,1.05,-1.4,FAIL,400.8373,0.4277
trend,SMA cross,15m,short,uptrend|pulling back in trend|clean|contracting,35,-27.5506,22.86,-9.64,13,-38.2653,15.38,-4.97,-5.72,FAIL,,
trend,SMA cross,15m,long,uptrend|at range high|clean|contracting,49,-4.1701,36.73,-2.04,9,-16.6054,22.22,-1.49,-3.15,FAIL,1.964,
trend,SMA cross,15m,short,uptrend|at range high|clean|contracting,2,18.8972,50.0,0.38,1,-64.7505,0.0,-0.65,-0.7,UNRELIABLE,0.2958,
trend,SMA cross,15m,long,downtrend|pulling back in trend|clean|expanding,37,25.2523,59.46,9.34,7,22.2098,57.14,1.55,-1.12,UNRELIABLE,0.23,0.2494
trend,SMA cross,15m,short,downtrend|pulling back in trend|clean|expanding,38,-6.5861,34.21,-2.5,10,-22.8015,30.0,-2.28,-3.69,FAIL,5.4448,
