family,indicator,tf,eye_direction,eye_state,eye_tr_n,eye_tr_exp,eye_va_n,eye_va_exp,eye_va_win_pct,eye_va_ret_pct,eye_verdict,ungated_tr_n,ungated_tr_exp,ungated_va_n,ungated_va_exp,ungated_verdict,atr_gate_dir,atr_tr_n,atr_tr_exp,atr_va_n,atr_va_exp,control_n_draws,control_mean_va_exp,control_median_va_exp,control_pct_beat_eye,control_pct_beat_ungated
levels,Camarilla pivots (reversion),15m,short,transition|at range high|messy|expanding,21,3.3752,6,-8.7125,33.33,-0.52,UNRELIABLE,1646,-5.3263,585,-7.6385,FAIL,above,332,-9.185855339718062,158,-10.619123010879177,20,-20.439980000000002,-14.724,0.2,0.2
levels,Camarilla pivots (reversion),1h,short,uptrend|at range high|messy|expanding,32,60.4412,7,2.3081,42.86,0.16,UNRELIABLE,1352,-6.4489,464,-9.9824,FAIL,above,206,-9.807902549027677,115,6.984647771207544,20,-10.48193,-32.0364,0.4,0.4
levels,Williams fractals,15m,long,transition|at range high|clean|expanding,231,1.559,85,5.5682,45.88,4.73,SURVIVOR,27526,-0.3633,9617,-1.032,FAIL,below,1474,-5.1080334005036905,430,-4.539058646459578,20,-8.589134999999999,-11.795950000000001,0.15,0.3
levels,Williams fractals,1h,short,transition|at range low|messy|contracting,80,26.925,23,-12.1607,34.78,-2.8,FAIL,7274,-1.2769,2456,-3.4216,FAIL,below,659,-8.633116457414324,170,-12.928845770358995,20,-8.380669999999999,-13.593549999999999,0.5,0.35
momentum,Awesome Oscillator 0-cross,15m,long,downtrend|pulling back in trend|clean|expanding,44,11.5375,18,20.0969,55.56,3.62,SURVIVOR,6522,-1.4927,2035,-1.6763,FAIL,below,1052,-4.682547272574189,264,-9.954730827731472,20,-7.96691,-13.122349999999999,0.2,0.3
momentum,Awesome Oscillator 0-cross,1h,short,downtrend|pulling back in trend|messy|expanding,22,48.209,8,-107.7562,12.5,-8.62,FAIL,1551,-2.4564,495,-4.5783,FAIL,below,350,2.1691453668256147,83,-3.395539025647685,20,-6.42667,0.0,1.0,0.55
momentum,CCI extremes,15m,long,uptrend|pulling back in trend|clean|contracting,20,20.9137,7,31.3767,57.14,2.2,UNRELIABLE,12579,-0.7918,4282,-1.8985,FAIL,below,1203,-5.513922597348663,331,-7.652762560583516,20,-17.999559999999995,-14.4678,0.0,0.05
momentum,CCI extremes,1h,short,uptrend|at range high|messy|stalling,36,40.3902,15,-19.0523,33.33,-2.86,FAIL,3021,-3.1054,1053,-5.0046,FAIL,below,469,-10.443504647483039,122,-9.226932427981142,20,-25.662315,-20.9608,0.5,0.4
momentum,Connors RSI extremes,15m,long,transition|at range low|clean|contracting,34,12.1819,9,-45.6369,11.11,-4.11,FAIL,4297,-1.688,1520,-2.0278,FAIL,above,678,-7.4614295273047935,298,-7.5930041720991035,20,9.078105,5.411200000000001,1.0,0.5
momentum,Connors RSI extremes,1h,long,uptrend|pulling back in trend|clean|expanding,20,7.7935,6,-53.4716,16.67,-3.21,UNRELIABLE,1215,-0.8001,404,4.5607,FAIL,above,221,-4.615355939468848,91,-28.00305985580376,20,-32.081875000000004,-70.9649,0.35,0.25
