drill_id,symbol,tf,horizon,decision_idx,decision_ts,decision_close,structure,location,quality,momentum,eye_structure,eye_location,eye_quality,eye_momentum,eye_tradeable,eye_best_tool,eye_one_line,eye_current_candle,before_png,after_png,call_action,call_entry,call_stop,call_target,call_reasoning,outcome,entered,fill_offset,exit_price,exit_offset,R,risk
d001_BTCUSDT_1h,BTC-USDT,1h,24,4174,2020-09-15T08:00:00+00:00,10636.5,uptrend,pulling back in trend,messy,expanding,uptrend,pulling back in trend,messy,expanding,False,stand aside,"Messy uptrend, pulling back in trend. Stand aside, nothing to do here.",red/large/none/near low,step84_drill_images/d001_BTCUSDT_1h_before.png,step84_drill_images/d001_BTCUSDT_1h_after.png,long,10730,10600,10950,"Sharp impulsive uptrend, spike to 10870, now pulling back 3-4 red candles to 10700-10730 still above both rising MAs. Reading as continuation pullback after breakout; long the dip, stop below launch base, target new highs.",time,True,2,10887.5,24,1.2115,130.0
d002_BTCUSDT_1h,BTC-USDT,1h,24,4726,2020-10-08T08:00:00+00:00,10560.5,transition,breaking down,messy,expanding,transition,breaking down,messy,expanding,True,breakout,"Messy transition, breaking down. Watch for the break to run.",red/large/none/near low,step84_drill_images/d002_BTCUSDT_1h_before.png,step84_drill_images/d002_BTCUSDT_1h_after.png,short,10565,10625,10480,"Breakdown from choppy consolidation (10600-10660) with two large red candles into fresh lows, momentum expanding down, price below both MAs. Short the breakdown, stop above consolidation high, target next support.",stop,True,0,10625.0,4,-1.0,60.0
d003_BTCUSDT_1h,BTC-USDT,1h,24,9979,2021-05-15T05:00:00+00:00,49696.5,downtrend,at range low,messy,contracting,downtrend,at range low,messy,contracting,False,stand aside,"Messy downtrend, at range low. Stand aside, nothing to do here.",green/average/none/near high,step84_drill_images/d003_BTCUSDT_1h_before.png,step84_drill_images/d003_BTCUSDT_1h_after.png,no trade,,,,"After violent crash to 46000, price chopping sideways 49000-51500 for ~2 days, small indecisive candles, both MAs flattening overhead as resistance. No clean directional edge, textbook chop -- staying out.",flat,False,,,,0.0,
d004_BTCUSDT_1h,BTC-USDT,1h,24,14349,2021-11-13T07:00:00+00:00,64063.0,downtrend,at range high,messy,expanding,downtrend,at range high,messy,expanding,False,stand aside,"Messy downtrend, at range high. Stand aside, nothing to do here.",green/average/none/upper half,step84_drill_images/d004_BTCUSDT_1h_before.png,step84_drill_images/d004_BTCUSDT_1h_after.png,short,64000,64350,63000,"Grinding downtrend since 69000 peak/62500 crash, sequence of lower highs each sold off. Price just bounced to 64000 into declining MA20/MA50 confluence -- fading the bounce, stop above the minor swing high, target back to range low.",stop,True,1,64350.0,7,-1.0,350.0
d005_BTCUSDT_1h,BTC-USDT,1h,24,18829,2022-05-18T23:00:00+00:00,28694.0,downtrend,breaking down,clean,expanding,downtrend,breaking down,clean,expanding,True,breakout,"Clean downtrend, breaking down. Watch for the break to run.",red/average/none/near low,step84_drill_images/d005_BTCUSDT_1h_before.png,step84_drill_images/d005_BTCUSDT_1h_after.png,short,28870,29300,28000,"Decisive breakdown from days-long 29500-31500 range, strong expanding red candles, price now well below both declining MAs. Short the breakdown continuation, stop above the broken consolidation, target next support leg down.",stop,True,1,29300.0,3,-1.0,430.0
d006_BTCUSDT_1h,BTC-USDT,1h,24,25371,2023-02-15T13:00:00+00:00,22681.2,transition,at range high,clean,expanding,transition,at range high,clean,expanding,False,stand aside,"Clean transition, at range high. Stand aside, nothing to do here.",red/large/none/near low,step84_drill_images/d006_BTCUSDT_1h_before.png,step84_drill_images/d006_BTCUSDT_1h_after.png,short,22750,22980,22300,"Vertical parabolic breakout from days of tight chop, spike to 22950 immediately followed by red reversal candle -- extended ~2.5% above MAs in one move. Reading the immediate reversal candle as short-term exhaustion; fading the spike back toward breakout base/MA20.",stop,True,1,22980.0,5,-1.0,230.0
d007_BTCUSDT_1h,BTC-USDT,1h,24,27043,2023-04-26T05:00:00+00:00,28382.0,uptrend,at range high,messy,stalling,uptrend,at range high,messy,stalling,False,stand aside,"Messy uptrend, at range high. Stand aside, nothing to do here.",green/average/none/upper half,step84_drill_images/d007_BTCUSDT_1h_before.png,step84_drill_images/d007_BTCUSDT_1h_after.png,long,28350,28150,28700,"Clean impulsive breakout from days-long 27000-28000 range, now tight small-bodied consolidation near the highs (28250-28380) holding gains rather than reversing -- reading as bull flag before continuation, not exhaustion.",target,True,1,28700.0,3,1.75,200.0
d008_BTCUSDT_1h,BTC-USDT,1h,24,29327,2023-07-30T09:00:00+00:00,29269.9,transition,at range low,messy,contracting,transition,at range low,messy,contracting,False,stand aside,"Messy transition, at range low. Stand aside, nothing to do here.",red/average/none/lower half,step84_drill_images/d008_BTCUSDT_1h_before.png,step84_drill_images/d008_BTCUSDT_1h_after.png,no trade,,,,"Five days of wide choppy whipsaw 29100-29650 with repeated failed breakouts both directions. Price now compressed right at MA20/MA50 confluence, tight range, contracting momentum. No edge -- classic chop, staying out.",flat,False,,,,0.0,
d009_BTCUSDT_1h,BTC-USDT,1h,24,40184,2024-10-24T18:00:00+00:00,67804.0,uptrend,at range high,clean,expanding,uptrend,at range high,clean,expanding,True,trend-follow,"Clean uptrend, at range high. Ride the trend.",green/average/long upper/upper half,step84_drill_images/d009_BTCUSDT_1h_before.png,step84_drill_images/d009_BTCUSDT_1h_after.png,long,67750,66850,69000,"Sharp V-shaped recovery from 65300 low, price breaking back above both MAs with expanding momentum -- reading as fresh reversal reclaiming the range. Long, stop below the last pullback low, target prior highs.",stop,True,1,66850.0,23,-1.0,900.0
d010_BTCUSDT_1h,BTC-USDT,1h,24,44543,2025-04-24T09:00:00+00:00,92437.1,range,at range low,clean,expanding,range,at range low,clean,expanding,True,range-fade,"Clean range, at range low. Fade the edge.",green/large/none/near high,step84_drill_images/d010_BTCUSDT_1h_before.png,step84_drill_images/d010_BTCUSDT_1h_after.png,long,92200,91500,93800,"Powerful uptrend (84700->94500 in under 4 days) pulling back modestly (~2.5%) into rising MA50 support. Buying the dip for trend continuation, stop below the pullback low, target back toward the highs.",no_fill,False,,,,0.0,700.0
