family,variant,config,tf,asset,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,stop_pct,target_pct,trades_yr,osc,k,tmult,M,N_pct,gate,max_wait,ext_thresh,W,config_name,vmult,hold_days,disp_mult,tgt_tag,H,direction
A-divergence,before,RSI14 k5 regular UNCONDITIONAL tgt2x,1h,BTC,218,-10.279,35.32,-22.41,-44.61,73,-8.0156,34.25,-5.85,-20.02,17.0,27.395189003436425,FAIL,1.7303598818857766,3.460719763771553,57.5,RSI14,5.0,2.0,,,,,,,,,,,,,
A-divergence,after-level,RSI14 k5 regular LEVEL-GATE M50 N0.5% tgt2x,1h,BTC,203,-10.4044,35.47,-21.12,-42.43,69,-8.5503,34.78,-5.9,-23.51,19.0,28.06985294117647,FAIL,1.6880311785588327,3.3760623571176653,53.7,RSI14,5.0,2.0,50.0,0.5,level,,,,,,,,,,
A-divergence,after-level,RSI14 k5 regular LEVEL-GATE M50 N1.0% tgt2x,1h,BTC,210,-19.2542,32.86,-40.43,-54.83,70,-8.6643,34.29,-6.07,-22.41,18.0,27.685714285714287,FAIL,1.6983373373440072,3.3966746746880143,55.3,RSI14,5.0,2.0,50.0,1.0,level,,,,,,,,,,
A-divergence,after-level,RSI14 k5 regular LEVEL-GATE M50 N2.0% tgt2x,1h,BTC,210,-16.1641,33.81,-33.94,-51.0,70,-3.0173,35.71,-2.11,-19.05,17.0,26.95357142857143,FAIL,1.6886922971497078,3.3773845942994156,55.3,RSI14,5.0,2.0,50.0,2.0,level,,,,,,,,,,
A-divergence,after-level,RSI14 k5 regular LEVEL-GATE M100 N0.5% tgt2x,1h,BTC,201,-10.9866,35.32,-22.08,-42.12,69,-8.5143,34.78,-5.87,-23.3,19.0,28.011111111111113,FAIL,1.6686235138612096,3.337247027722419,53.3,RSI14,5.0,2.0,100.0,0.5,level,,,,,,,,,,
A-divergence,after-level,RSI14 k5 regular LEVEL-GATE M100 N1.0% tgt2x,1h,BTC,207,-16.1589,33.82,-33.45,-51.37,70,-10.7023,34.29,-7.49,-23.36,18.0,27.306859205776174,FAIL,1.674228692477304,3.348457384954608,54.7,RSI14,5.0,2.0,100.0,1.0,level,,,,,,,,,,
A-divergence,after-level,RSI14 k5 regular LEVEL-GATE M100 N2.0% tgt2x,1h,BTC,208,-15.0161,34.13,-31.23,-48.97,70,-9.9573,34.29,-6.97,-22.99,17.0,27.007194244604317,FAIL,1.6789422207516955,3.357884441503391,54.9,RSI14,5.0,2.0,100.0,2.0,level,,,,,,,,,,
A-divergence,after-level,RSI14 k5 regular LEVEL-GATE M200 N0.5% tgt2x,1h,BTC,199,-7.293,36.18,-14.51,-42.21,68,-6.1359,35.29,-4.17,-23.37,19.0,28.123595505617978,FAIL,1.6746322768841513,3.3492645537683026,52.7,RSI14,5.0,2.0,200.0,0.5,level,,,,,,,,,,
A-divergence,after-level,RSI14 k5 regular LEVEL-GATE M200 N1.0% tgt2x,1h,BTC,201,-10.8214,35.32,-21.75,-43.22,69,-8.542,34.78,-5.89,-23.37,19.0,27.925925925925927,FAIL,1.6745882350412182,3.3491764700824365,53.3,RSI14,5.0,2.0,200.0,1.0,level,,,,,,,,,,
A-divergence,after-level,RSI14 k5 regular LEVEL-GATE M200 N2.0% tgt2x,1h,BTC,203,-14.0707,34.48,-28.56,-45.99,69,-7.7946,34.78,-5.38,-23.13,19.0,28.06985294117647,FAIL,1.691749988234901,3.383499976469802,53.7,RSI14,5.0,2.0,200.0,2.0,level,,,,,,,,,,
A-divergence,after-confirm,RSI14 k5 regular CONFIRM-GATE wait10 tgt2x,1h,BTC,122,-20.7454,36.07,-25.31,-34.75,47,-28.3117,38.3,-13.31,-25.96,45.0,49.72781065088758,FAIL,3.225027010543511,6.450054021087022,33.4,RSI14,5.0,2.0,,,confirm,10.0,,,,,,,,,
A-divergence,after-confirm,RSI14 k5 regular CONFIRM-GATE wait30 tgt2x,1h,BTC,159,-31.2403,33.96,-49.67,-59.82,56,2.751,39.29,1.54,-29.72,42.0,49.91162790697675,FAIL,3.4312523972536026,6.862504794507205,42.5,RSI14,5.0,2.0,,,confirm,30.0,,,,,,,,,
A-divergence,after-extreme,RSI14 k5 regular TREND-EXTREME>=2.0ATR tgt2x,1h,BTC,162,-14.2041,33.33,-23.01,-46.42,55,-4.1923,34.55,-2.31,-14.74,15.0,24.207373271889402,FAIL,1.6522348092732966,3.304469618546593,42.8,RSI14,5.0,2.0,,,extreme,,2.0,,,,,,,,
A-divergence,after-extreme,RSI14 k5 regular TREND-EXTREME>=3.0ATR tgt2x,1h,BTC,124,-27.5275,29.03,-34.13,-45.24,45,-20.1948,31.11,-9.09,-14.76,13.0,22.62721893491124,FAIL,1.6103917608148268,3.2207835216296536,33.4,RSI14,5.0,2.0,,,extreme,,3.0,,,,,,,,
A-divergence,after-all3,RSI14 k5 regular ALL3-COMBINED M100 N1.0% wait30 ext>=2.0ATR tgt2x,1h,BTC,99,-44.0383,34.34,-43.6,-46.17,35,14.9581,45.71,5.24,-24.18,47.5,54.23880597014925,FAIL,3.6514463210698698,7.3028926421397395,26.5,RSI14,5.0,2.0,100.0,1.0,all3,30.0,2.0,,,,,,,,
A-divergence,after-all3,RSI14 k5 regular ALL3-COMBINED M100 N1.0% wait30 ext>=3.0ATR tgt2x,1h,BTC,58,-20.2314,39.66,-11.73,-26.74,26,-10.318,42.31,-2.68,-21.51,55.5,57.92857142857143,FAIL,3.8435994538403904,7.687198907680781,16.6,RSI14,5.0,2.0,100.0,1.0,all3,30.0,3.0,,,,,,,,
A-divergence,before,RSI14 k5 regular UNCONDITIONAL tgt3x,1h,BTC,218,-20.4179,26.61,-44.51,-54.87,73,5.1883,28.77,3.79,-24.13,23.0,33.18556701030928,FAIL,1.7303598818857766,5.19107964565733,57.5,RSI14,5.0,3.0,,,,,,,,,,,,,
