attack,asset,rsi_n,rsi_th,guard,half,date_range,n_total,before_exp,n_kept,after_exp,n_skipped,skipped_total_pnl,control_pctile,note
1_third_asset,SOL,,,,,,27,-47.12699401826359,9.0,-35.34889040585444,18.0,-954.288824840427,68.0,
1_third_asset,XRP,,,,,,30,6.385449575260827,19.0,29.252686129088705,11.0,-364.23754919486055,92.0,
1_third_asset,DOGE,,,,,,21,-25.183748480447406,7.0,-38.33445979312507,14.0,-260.51749953752005,36.0,
2_family_sweep,BTC,2.0,5.0,True,,,25,0.125412375279775,12.0,32.83502781245139,13.0,-390.8850243674224,93.5,
2_family_sweep,BTC,2.0,5.0,False,,,846,-9.608696076153537,357.0,-17.14195398326664,489.0,-2009.2793083997021,0.0,
2_family_sweep,BTC,2.0,10.0,True,,,63,-11.790195360223988,19.0,29.2851169039749,44.0,-1299.1995288696344,99.5,
2_family_sweep,BTC,2.0,10.0,False,,,1540,-7.259522211187867,528.0,-15.116764243463502,1012.0,-3198.012684680589,0.0,
2_family_sweep,BTC,2.0,15.0,True,,,164,-11.530905060975417,45.0,21.350911187543048,119.0,-2851.8594334394056,99.0,
2_family_sweep,BTC,2.0,15.0,False,,,2111,-6.2053588690176795,689.0,-12.944146522905603,1422.0,-4180.995618214362,0.0,
2_family_sweep,BTC,2.0,20.0,True,,,285,-9.28602632181356,85.0,12.09078410884966,200.0,-3674.234150969086,100.0,
2_family_sweep,BTC,2.0,20.0,False,,,2623,-5.21334475152782,822.0,-10.37245610816521,1801.0,-5148.444362345667,0.0,
2_family_sweep,BTC,3.0,5.0,True,,,8,85.12299940544267,5.0,98.176942360252,3.0,190.09928344228138,78.0,
2_family_sweep,BTC,3.0,5.0,False,,,254,-19.10750025426669,130.0,-18.201685284124462,124.0,-2487.085977647559,59.0,
2_family_sweep,BTC,3.0,10.0,True,,,47,-6.424338897026323,20.0,24.869070911312974,27.0,-799.3253463864967,96.5,
2_family_sweep,BTC,3.0,10.0,False,,,642,-10.41915766956441,270.0,-15.96398506795262,372.0,-2378.8232555131435,2.5,
2_family_sweep,BTC,3.0,15.0,True,,,132,-9.27481043208525,46.0,27.072523876710875,86.0,-2469.611075363953,100.0,
2_family_sweep,BTC,3.0,15.0,False,,,1054,-9.368342972965968,397.0,-18.2209347728652,657.0,-2640.5223886786453,0.0,
2_family_sweep,BTC,3.0,20.0,True,,,253,-11.460839862728456,81.0,11.518029601671985,172.0,-3832.55288300573,100.0,
2_family_sweep,BTC,3.0,20.0,False,,,1552,-7.326175211505097,527.0,-14.664831118149673,1025.0,-3641.8579289910344,0.0,
