section,asset,tf,direction,age_cutoff,touch_cutoff,dist_bar_cutoff,dist_atr_cutoff,bucket,split,n_trades,expectancy,trades_per_year,win_rate_pct
level_sweep,BTC,1h,long,20.0,1.0,,,STRUCTURAL,train,423,43.89158456194985,111.37,47.5177304964539
level_sweep,BTC,1h,long,20.0,1.0,,,LOCAL,train,729,-0.7550929994615518,191.94,44.17009602194788
level_sweep,BTC,1h,long,20.0,2.0,,,STRUCTURAL,train,368,11.830997896906197,96.89,45.380434782608695
level_sweep,BTC,1h,long,20.0,2.0,,,LOCAL,train,736,-2.0513539698947234,193.78,44.02173913043478
level_sweep,BTC,1h,long,20.0,3.0,,,STRUCTURAL,train,319,24.2753408230422,83.99,44.827586206896555
level_sweep,BTC,1h,long,20.0,3.0,,,LOCAL,train,737,-2.1955013358762145,194.05,43.96200814111262
level_sweep,BTC,1h,long,50.0,1.0,,,STRUCTURAL,train,259,57.62552319633961,68.19,48.64864864864865
level_sweep,BTC,1h,long,50.0,1.0,,,LOCAL,train,742,-0.5464654388258348,195.36,44.20485175202156
level_sweep,BTC,1h,long,50.0,2.0,,,STRUCTURAL,train,228,30.874924197824885,60.03,47.368421052631575
level_sweep,BTC,1h,long,50.0,2.0,,,LOCAL,train,746,-0.9508865123041994,196.41,44.10187667560322
level_sweep,BTC,1h,long,50.0,3.0,,,STRUCTURAL,train,192,42.58803946249778,50.55,46.35416666666667
level_sweep,BTC,1h,long,50.0,3.0,,,LOCAL,train,746,-1.3215935499332445,196.41,43.96782841823057
level_sweep,BTC,1h,long,100.0,1.0,,,STRUCTURAL,train,175,43.4298851718955,46.08,46.285714285714285
level_sweep,BTC,1h,long,100.0,1.0,,,LOCAL,train,744,-0.7974648046722157,195.89,44.22043010752688
level_sweep,BTC,1h,long,100.0,2.0,,,STRUCTURAL,train,157,37.86316102001389,41.34,45.22292993630573
level_sweep,BTC,1h,long,100.0,2.0,,,LOCAL,train,747,-1.2060079386660472,196.68,44.042838018741634
level_sweep,BTC,1h,long,100.0,3.0,,,STRUCTURAL,train,137,50.889300432853275,36.07,45.98540145985402
level_sweep,BTC,1h,long,100.0,3.0,,,LOCAL,train,747,-1.2060079386660472,196.68,44.042838018741634
level_sweep,BTC,1h,long,200.0,1.0,,,STRUCTURAL,train,116,46.80196073157899,30.54,44.827586206896555
level_sweep,BTC,1h,long,200.0,1.0,,,LOCAL,train,746,-0.5438801742455779,196.41,44.23592493297587
level_sweep,BTC,1h,long,200.0,2.0,,,STRUCTURAL,train,103,27.27918038234977,27.12,42.71844660194174
level_sweep,BTC,1h,long,200.0,2.0,,,LOCAL,train,748,-0.7379391544974573,196.94,44.11764705882353
level_sweep,BTC,1h,long,200.0,3.0,,,STRUCTURAL,train,91,39.55338136578012,23.96,42.857142857142854
level_sweep,BTC,1h,long,200.0,3.0,,,LOCAL,train,748,-0.7379391544974573,196.94,44.11764705882353
level_sweep,BTC,1h,long,500.0,1.0,,,STRUCTURAL,train,62,51.76820227301229,16.32,48.38709677419355
level_sweep,BTC,1h,long,500.0,1.0,,,LOCAL,train,749,-0.45606757268861436,197.2,44.192256341789054
level_sweep,BTC,1h,long,500.0,2.0,,,STRUCTURAL,train,56,25.79891125751247,14.74,44.642857142857146
level_sweep,BTC,1h,long,500.0,2.0,,,LOCAL,train,749,-0.45606757268861436,197.2,44.192256341789054
level_sweep,BTC,1h,long,500.0,3.0,,,STRUCTURAL,train,48,17.94209350942117,12.64,41.66666666666667
level_sweep,BTC,1h,long,500.0,3.0,,,LOCAL,train,749,-0.45606757268861436,197.2,44.192256341789054
level_selected,BTC,1h,long,50.0,1.0,,,STRUCTURAL,train,259,57.62552319633961,68.19,48.64864864864865
level_selected,BTC,1h,long,50.0,1.0,,,STRUCTURAL,val,86,13.85009646742917,67.93,47.674418604651166
level_selected,BTC,1h,long,50.0,1.0,,,LOCAL,train,742,-0.5464654388258348,195.36,44.20485175202156
level_selected,BTC,1h,long,50.0,1.0,,,LOCAL,val,258,-2.0042227695404256,203.79,43.02325581395349
level_eth_transfer,ETH,1h,long,50.0,1.0,,,STRUCTURAL,train,219,36.99355343196485,68.11,48.401826484018265
level_eth_transfer,ETH,1h,long,50.0,1.0,,,STRUCTURAL,val,70,-30.319787490417976,65.31,34.285714285714285
level_eth_transfer,ETH,1h,long,50.0,1.0,,,LOCAL,train,617,-4.0796366331158564,191.88,45.705024311183145
level_eth_transfer,ETH,1h,long,50.0,1.0,,,LOCAL,val,217,-31.233571075211238,202.45,45.622119815668206
level_sweep,BTC,1h,short,20.0,1.0,,,STRUCTURAL,train,380,-9.229037400376257,100.05,44.473684210526315
level_sweep,BTC,1h,short,20.0,1.0,,,LOCAL,train,680,-13.146339090165876,179.04,42.35294117647059
