asset,setup,quiet_def,stop_frac,target_frac,range_pct_train,stop_pct,target_pct,tr_n,tr_exp_net,tr_exp_gross,va_n,va_exp_net,va_exp_gross,pooled_net_exp,pooled_gross_exp,cost_drag_bps,net_verdict,gross_verdict,complementarity,trades_yr
BTC,S1-fade-prior-range,quiet_A,0.4,0.3,3.508,1.403,1.052,150,-10.357,-5.349,72,-16.285,-10.981,-12.28,-7.176,5.42,FAIL,FAIL,0.311,43.84
BTC,S1-fade-prior-range,quiet_A,0.4,0.5,3.508,1.403,1.754,150,-13.997,-8.908,72,-22.954,-17.439,-16.902,-11.675,5.62,FAIL,FAIL,0.311,43.84
BTC,S1-fade-prior-range,quiet_A,0.4,0.8,3.508,1.403,2.806,150,-21.491,-16.884,72,-31.027,-25.574,-24.584,-19.702,5.69,FAIL,FAIL,0.311,43.84
BTC,S1-fade-prior-range,quiet_A,0.6,0.3,3.508,2.105,1.052,150,-6.898,-2.08,72,-22.619,-17.921,-11.997,-7.218,5.11,FAIL,FAIL,0.311,43.84
BTC,S1-fade-prior-range,quiet_A,0.6,0.5,3.508,2.105,1.754,150,-17.508,-13.16,72,-25.993,-21.089,-20.26,-15.731,4.96,FAIL,FAIL,0.311,43.84
BTC,S1-fade-prior-range,quiet_A,0.6,0.8,3.508,2.105,2.806,150,-18.018,-13.521,72,-27.798,-22.736,-21.19,-16.509,5.25,FAIL,FAIL,0.311,43.84
BTC,S1-fade-prior-range,quiet_B,0.4,0.3,3.632,1.453,1.09,192,-6.531,-1.338,69,-6.812,-1.298,-6.605,-1.327,5.32,FAIL,FAIL,0.33,51.54
BTC,S1-fade-prior-range,quiet_B,0.4,0.5,3.632,1.453,1.816,192,-15.025,-10.34,69,-1.355,4.682,-11.411,-6.369,5.45,FAIL,FAIL,0.33,51.54
BTC,S1-fade-prior-range,quiet_B,0.4,0.8,3.632,1.453,2.906,192,-15.065,-10.181,69,-2.044,4.334,-11.623,-6.343,5.61,FAIL,FAIL,0.33,51.54
BTC,S1-fade-prior-range,quiet_B,0.6,0.3,3.632,2.179,1.09,192,-4.753,0.181,69,-16.261,-11.385,-7.795,-2.877,5.07,FAIL,FAIL,0.33,51.54
BTC,S1-fade-prior-range,quiet_B,0.6,0.5,3.632,2.179,1.816,192,-18.977,-15.11,69,-10.485,-5.157,-16.732,-12.479,4.9,FAIL,FAIL,0.33,51.54
